engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
thc-graal	1	caseList	5	1395200	100	8151456000	2000190708
native-ghc	1	caseList	1	3549696	100	20739098880	2000047000
native-ghc	1	caseList	2	4053504	100	23682597120	2000059000
native-ghc	1	caseList	3	3983360	100	23272780800	2000053000
native-ghc	1	caseList	4	3987456	100	23296711680	2000084000
native-ghc	1	caseList	5	4059392	100	23716997760	2000008000
thc-graal	2	caseList	1	945152	100	5522050560	2000254500
thc-graal	2	caseList	2	775680	100	4531910400	2000000917
thc-graal	2	caseList	3	721664	100	4216321920	2000055417
thc-graal	2	caseList	4	966400	100	5646192000	2000375791
thc-graal	2	caseList	5	1147392	100	6703637760	2000441792
native-ghc	2	caseList	1	2246912	100	13127583360	2000396000
native-ghc	2	caseList	2	2264576	100	13230785280	2000015000
native-ghc	2	caseList	3	3965696	100	23169578880	2000048000
native-ghc	2	caseList	4	4084480	100	23863574400	2000028000
native-ghc	2	caseList	5	3953920	100	23100777600	2000013000
thc-graal	3	caseList	1	1469952	100	8588194560	2000106417
thc-graal	3	caseList	2	1417472	100	8281580160	2000136708
thc-graal	3	caseList	3	1290752	100	7541218560	2000086500
thc-graal	3	caseList	4	1326592	100	7750613760	2000116083
thc-graal	3	caseList	5	1444096	100	8437130880	2000016833
native-ghc	3	caseList	1	4092160	100	23908444800	2000042000
native-ghc	3	caseList	2	3871232	100	22617672960	2000035000
native-ghc	3	caseList	3	4078592	100	23829173760	2000066000
native-ghc	3	caseList	4	4111104	100	24019125120	2000025000
native-ghc	3	caseList	5	3931392	100	22969157760	2000016000
