com.oracle.truffle.api.staticobject.GeneratedStaticObject$$4	4059	25004721144
[Ljava.lang.Object;	916	4007356552
java.lang.Long	610	3504724576
com.oracle.truffle.api.staticobject.GeneratedStaticObject$$6	274	1472840440
thc.runtime.Thunk	23	62852392
com.oracle.truffle.api.staticobject.GeneratedStaticObject$$7	23	58662136
org.graalvm.polyglot.Value	1	5237712
